"","Author.Name","Auth.ID","Number.of.Documents","Subject.Area","Orc_ID","X"
"1205","Zhu Yi",55860799247,9,"Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Multidisciplinary
Agricultural and Biological Sciences
Medicine
","",NA
"1206","Agosta John P.",56672808200,8,"Medicine
Psychology
Business, Management and Accounting
Social Sciences
Nursing
","",NA
"1207","Agudelo Juliana",56522782300,8,"Chemistry
Physics and Astronomy
Environmental Science
Biochemistry, Genetics and Molecular Biology
Medicine
","",NA
"1208","AlBadawy Ehab A.",57200524987,8,"Computer Science
Medicine
Engineering
Materials Science
Arts and Humanities
Mathematics
Health Professions
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
","",NA
"1209","Austin Sandra A.",8559518800,8,"Social Sciences
Medicine
Nursing
","",NA
"1210","Barach Eliza",57191054564,8,"Computer Science
Engineering
Psychology
Arts and Humanities
Multidisciplinary
Medicine
Neuroscience
","",NA
"1211","Belardo Salvatore",7003392157,8,"Computer Science
Engineering
Business, Management and Accounting
Social Sciences
Mathematics
","",NA
"1212","Berger Iris",57189652083,8,"Social Sciences
Arts and Humanities
","",NA
"1213","Brotzge Jerald",6602849999,8,"Computer Science
Earth and Planetary Sciences
Engineering
Biochemistry, Genetics and Molecular Biology
Mathematics
","",NA
"1214","Burrows D. Alex",56478396500,8,"Earth and Planetary Sciences
","",NA
"1215","Campbell Dylan S.",57210362534,8,"Psychology
Arts and Humanities
Social Sciences
Medicine
Multidisciplinary
","",NA
"1216","Carnahan James C.",7005264789,8,"Chemistry
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Materials Science
Pharmacology, Toxicology and Pharmaceutics
","",NA
"1217","Casserly Mary Frances",6506047476,8,"Social Sciences
Computer Science
","",NA
"1218","Casson Paul W.",26424509000,8,"Environmental Science
Earth and Planetary Sciences
Chemistry
Agricultural and Biological Sciences
","",NA
"1219","Castellani Paul J.",7006667352,8,"Social Sciences
Medicine
Health Professions
Psychology
Business, Management and Accounting
Nursing
","",NA
"1220","Chang Seokjooandrew",35110371900,8,"Computer Science
Decision Sciences
Business, Management and Accounting
Arts and Humanities
Economics, Econometrics and Finance
Mathematics
Engineering
Psychology
","",NA
"1221","Cho H. A.",57217380938,8,"Physics and Astronomy
","",NA
"1222","Choi Yongjin",57210372973,8,"Social Sciences
Environmental Science
Computer Science
Medicine
Earth and Planetary Sciences
Engineering
Health Professions
Psychology
","",NA
"1223","Clow Lawrence P.",8328499000,8,"Physics and Astronomy
Engineering
Materials Science
Computer Science
Mathematics
","",NA
"1224","Cohen Laura B.",7403929832,8,"Social Sciences
Computer Science
","",NA
"1225","Cohen R. J.",57199361452,8,"Psychology
","",NA
"1226","Costello Jim",56348220200,8,"Computer Science
Social Sciences
Engineering
Chemical Engineering
","",NA
"1227","Currenti Salvatore A.",34969090000,8,"Medicine
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Multidisciplinary
Neuroscience
","",NA
"1228","Czapski Ulrich H.",6506737569,8,"Environmental Science
Engineering
Materials Science
Physics and Astronomy
Chemistry
Medicine
","",NA
"1229","Doemling M. F.",6602324963,8,"Physics and Astronomy
Materials Science
Engineering
Computer Science
","",NA
"1230","Edelman Martin",56445683900,8,"Social Sciences
Arts and Humanities
","",NA
"1231","Eubanks Virginia",9043827300,8,"Social Sciences
Engineering
Psychology
Multidisciplinary
","",NA
"1232","Evans Donald D.",56984250500,8,"Psychology
Medicine
Agricultural and Biological Sciences
Neuroscience
","",NA
"1233","Forsyth Elaine",56930994600,8,"Social Sciences
Earth and Planetary Sciences
","",NA
"1234","Friedman Sally",7403181522,8,"Social Sciences
Health Professions
","",NA
"1235","George Justin",57132013400,8,"Biochemistry, Genetics and Molecular Biology
Materials Science
Chemistry
Chemical Engineering
Engineering
Medicine
","",NA
"1236","Guarnieri Patricia",6604042275,8,"Medicine
Psychology
Agricultural and Biological Sciences
Neuroscience
","",NA
"1237","Han Yan",55489258500,8,"Biochemistry, Genetics and Molecular Biology
Neuroscience
","",NA
"1238","Harris Cornelia B.",55348152500,8,"Environmental Science
Agricultural and Biological Sciences
Social Sciences
Arts and Humanities
Engineering
Mathematics
","",NA
"1239","Hart Thomas M.",57201491618,8,"Immunology and Microbiology
Medicine
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Veterinary
","",NA
"1240","He Yi",55498870900,8,"Earth and Planetary Sciences
Environmental Science
Physics and Astronomy
Chemistry
","",NA
"1241","Hosier Allison",55382520500,8,"Social Sciences
","",NA
"1242","Huang Gu",7403424880,8,"Earth and Planetary Sciences
Environmental Science
Chemistry
Physics and Astronomy
","",NA
"1243","Ilchman Warren F.",56153810900,8,"Social Sciences
","",NA
"1244","Irwin Ryan M.",35114951900,8,"Arts and Humanities
Social Sciences
","",NA
"1245","Iyer Padmavathi",57202779974,8,"Computer Science
Engineering
Decision Sciences
Social Sciences
","",NA
"1246","Jackson Sam",57190686355,8,"Social Sciences
Computer Science
Arts and Humanities
Engineering
Mathematics
Psychology
","0000-0003-1845-9090",NA
"1247","Jain Ritu J.",7403424358,8,"Biochemistry, Genetics and Molecular Biology
Medicine
","",NA
"1248","Kachwala Mahera J.",57211365404,8,"Chemistry
Biochemistry, Genetics and Molecular Biology
Materials Science
Physics and Astronomy
Environmental Science
Agricultural and Biological Sciences
Engineering
","0000-0001-7157-5563",NA
"1249","Kangos Kelsey A.",55966103900,8,"Psychology
Social Sciences
Medicine
","",NA
"1250","Kim Seulki",57201332773,8,"Social Sciences
Arts and Humanities
Earth and Planetary Sciences
Environmental Science
Medicine
","",NA
"1251","Knoche Victoria A.",57204760740,8,"Social Sciences
Medicine
Business, Management and Accounting
Psychology
","",NA
"1252","Lance Timothy L.",6602623010,8,"Mathematics
","",NA
"1253","LaPorta Erika",35956587800,8,"Biochemistry, Genetics and Molecular Biology
Medicine
","",NA
"1254","Lauritsen Dean K.",6506886754,8,"Earth and Planetary Sciences
Engineering
Physics and Astronomy
Materials Science
Environmental Science
","",NA
"1255","Levitas Alfred D.",22988912500,8,"Physics and Astronomy
Arts and Humanities
","",NA
"1256","Liang Zhongwen",55212774300,8,"Economics, Econometrics and Finance
Mathematics
Arts and Humanities
","",NA
"1257","Lim Dongsung",7401815920,8,"Chemistry
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Materials Science
Chemical Engineering
Agricultural and Biological Sciences
","",NA
"1258","Lipetz Ben Ami",6508028521,8,"Computer Science
Social Sciences
Engineering
Mathematics
","",NA
"1259","Lorusso Jenna R.",56677689900,8,"Social Sciences
Health Professions
Medicine
","",NA
"1260","Lyon Melissa Arnold",57196237196,8,"Social Sciences
Economics, Econometrics and Finance
","0000-0002-4388-6337",NA
"1261","Mail Noor",57213610869,8,"Engineering
Physics and Astronomy
Chemistry
Biochemistry, Genetics and Molecular Biology
Medicine
","",NA
"1262","Mallik Prabhat K.",6602342717,8,"Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Medicine
","",NA
"1263","Marfey S. P.",6602213659,8,"Biochemistry, Genetics and Molecular Biology
Medicine
Multidisciplinary
","",NA
"1264","Maskin Paul",6507855892,8,"Biochemistry, Genetics and Molecular Biology
Neuroscience
Medicine
","",NA
"1265","Muckell Jonathan",35389189100,8,"Computer Science
Earth and Planetary Sciences
Engineering
Social Sciences
Mathematics
","",NA
"1266","Murty Sujata A.",55617883300,8,"Earth and Planetary Sciences
Environmental Science
Arts and Humanities
","0000-0001-5228-3899",NA
"1267","Nazar Imara Mohamed",57210120068,8,"Computer Science
Physics and Astronomy
Engineering
Earth and Planetary Sciences
","",NA
"1268","Nelles Wendy B.",6602633350,8,"Medicine
Psychology
Chemical Engineering
Social Sciences
Chemistry
","",NA
"1269","Pazienza Rena L.",57212763175,8,"Medicine
Psychology
Social Sciences
","",NA
"1270","Perry Taylor R.",57218497079,8,"Medicine
Psychology
Neuroscience
Pharmacology, Toxicology and Pharmaceutics
Nursing
","",NA
"1271","Pytel Barbara A.",36779307900,8,"Neuroscience
Biochemistry, Genetics and Molecular Biology
Medicine
Multidisciplinary
Agricultural and Biological Sciences
","",NA
"1272","Ribeiro Bruno Zanetti",56646005400,8,"Earth and Planetary Sciences
","",NA
"1273","Riley Moira R.",57200714962,8,"Medicine
Social Sciences
Psychology
Pharmacology, Toxicology and Pharmaceutics
","",NA
"1274","Russell Bradley W.",26041043700,8,"Arts and Humanities
Social Sciences
Physics and Astronomy
Earth and Planetary Sciences
Biochemistry, Genetics and Molecular Biology
Chemistry
","",NA
"1275","Salomon Herman Prins",26033687200,8,"Arts and Humanities
Social Sciences
","",NA
"1276","Siddiqui Niloufer A.",57200795890,8,"Social Sciences
Arts and Humanities
Economics, Econometrics and Finance
","",NA
"1277","Spitzley Lee Allen",56323671600,8,"Computer Science
Social Sciences
Decision Sciences
Psychology
Arts and Humanities
Business, Management and Accounting
Mathematics
","",NA
"1278","Srivastava Raja B.",15620620300,8,"Chemistry
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Materials Science
Engineering
","",NA
"1279","Steinbock Bonnie",7004227916,8,"Medicine
Social Sciences
Nursing
Arts and Humanities
","",NA
"1280","Sumida Kanako",12752471600,8,"Pharmacology, Toxicology and Pharmaceutics
Neuroscience
Biochemistry, Genetics and Molecular Biology
Psychology
","",NA
"1281","Sun Yan",56523692300,8,"Biochemistry, Genetics and Molecular Biology
Chemistry
Chemical Engineering
Multidisciplinary
","",NA
"1282","Tamvada Kelli H.",38863141200,8,"Medicine
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Mathematics
Physics and Astronomy
Immunology and Microbiology
Social Sciences
Chemistry
","",NA
"1283","Therriault Gene D.",6506572090,8,"Medicine
Environmental Science
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
","",NA
"1284","Tifft Eric D.",57194972364,8,"Psychology
Arts and Humanities
Medicine
Business, Management and Accounting
Social Sciences
Agricultural and Biological Sciences
Neuroscience
","",NA
"1285","Tong Alfred Esperanza",56186122700,8,"Mathematics
","",NA
"1286","Tran Tuan",57203492951,8,"Medicine
Computer Science
Biochemistry, Genetics and Molecular Biology
Engineering
Decision Sciences
Mathematics
","",NA
"1287","Tyminski Irene J.",6504796732,8,"Chemical Engineering
Chemistry
Biochemistry, Genetics and Molecular Biology
","",NA
"1288","Vollmer Alisa J.",7003383260,8,"Agricultural and Biological Sciences
Psychology
Medicine
","",NA
"1289","Wang Tianlin",56268743500,8,"Psychology
Social Sciences
Arts and Humanities
Computer Science
Neuroscience
Health Professions
Medicine
","",NA
"1290","Yaqoob Faisal",6505796250,8,"Physics and Astronomy
Engineering
Materials Science
","",NA
"1291","Yerden Xiaoyi",57209415304,8,"Computer Science
Social Sciences
Mathematics
Psychology
","",NA
"1292","Zhang Liangying",55709034700,8,"Earth and Planetary Sciences
Physics and Astronomy
Engineering
","",NA
"1293","Zhang Qiang",57195194949,8,"Chemistry
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Pharmacology, Toxicology and Pharmaceutics
","",NA
"1294","Zhang Xing",53865953800,8,"Computer Science
Materials Science
Engineering
Physics and Astronomy
Mathematics
Medicine
","",NA
"1295","Abbott Michael E.",7103086694,7,"Biochemistry, Genetics and Molecular Biology
Medicine
Pharmacology, Toxicology and Pharmaceutics
Neuroscience
Psychology
","",NA
"1296","Allaud Guy",16529536100,7,"Mathematics
","",NA
"1297","Angelis Janet I.",53876873700,7,"Social Sciences
Psychology
","",NA
"1298","Averett Kate Henley",57186542400,7,"Social Sciences
Arts and Humanities
Business, Management and Accounting
Psychology
","",NA
"1299","Baaklini Abdo I.",25521414900,7,"Social Sciences
Arts and Humanities
Mathematics
Physics and Astronomy
Business, Management and Accounting
Biochemistry, Genetics and Molecular Biology
","",NA
"1300","Ban Carolyn",57189399764,7,"Social Sciences
Business, Management and Accounting
Environmental Science
","",NA
"1301","Barney Richard A.",35200345200,7,"Arts and Humanities
Social Sciences
","",NA
"1302","Battista Carmela",57212590479,7,"Psychology
Social Sciences
Medicine
","",NA
"1303","Bauer Ursula E.",57535645900,7,"Medicine
Health Professions
Social Sciences
Environmental Science
","",NA
"1304","Beaudin Sarah G.",56275452400,7,"Biochemistry, Genetics and Molecular Biology
Medicine
Agricultural and Biological Sciences
","",NA
"1305","Benvin Susan",6507174117,7,"Biochemistry, Genetics and Molecular Biology
Arts and Humanities
Environmental Science
Pharmacology, Toxicology and Pharmaceutics
Mathematics
Medicine
Decision Sciences
","",NA
"1306","Berman Jeffrey",56816377700,7,"Arts and Humanities
Social Sciences
Psychology
Medicine
","",NA
"1307","Bernier Joseph E.",56016737700,7,"Psychology
Medicine
Arts and Humanities
Health Professions
","",NA
"1308","Bhattacharya Devipsita",55605241800,7,"Computer Science
Business, Management and Accounting
","",NA
"1309","Boomsliter Paul C.",6508203504,7,"Arts and Humanities
Physics and Astronomy
Medicine
Psychology
","",NA
"1310","Bracken W. Edward",7003348606,7,"Earth and Planetary Sciences
","",NA
"1311","Bradburn John W.",57213197532,7,"Computer Science
Earth and Planetary Sciences
Physics and Astronomy
Engineering
","",NA
"1312","Bredderman Ted A.",6504044750,7,"Social Sciences
Arts and Humanities
Psychology
","",NA
"1313","Byers Duncan",7004874928,7,"Biochemistry, Genetics and Molecular Biology
Neuroscience
Psychology
Multidisciplinary
Arts and Humanities
","",NA
"1314","Carter John H.",7403989124,7,"Medicine
","",NA
"1315","Cassidy Edward F.",7004470900,7,"Engineering
Materials Science
Chemistry
","",NA
"1316","Chen Xiangyang",57206709955,7,"Medicine
Neuroscience
Biochemistry, Genetics and Molecular Biology
","",NA
"1317","Chi Benjamin E.",22983136300,7,"Physics and Astronomy
","",NA
"1318","Chu Liang",35358137900,7,"Chemistry
","",NA
"1319","Cipriano Ramon J.",7003585326,7,"Earth and Planetary Sciences
Multidisciplinary
Environmental Science
","",NA
"1320","Clark William R.",7403516145,7,"Medicine
","",NA
"1321","Cohen Sarah R.",55484111300,7,"Arts and Humanities
Social Sciences
","",NA
"1322","Considine John L.",16035341900,7,"Chemistry
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Materials Science
","",NA
"1323","Creary Nicholas M.",53563232900,7,"Arts and Humanities
Social Sciences
","",NA
"1324","Cruz José E.",55040498600,7,"Social Sciences
Arts and Humanities
","",NA
"1325","Dadayan Lucy",8967775900,7,"Computer Science
Social Sciences
Engineering
Economics, Econometrics and Finance
Mathematics
Decision Sciences
","",NA
"1326","Deloughery Kathleen",55173879200,7,"Social Sciences
Engineering
Medicine
Decision Sciences
Psychology
","",NA
"1327","DeVaux Rebecca S.",35763823900,7,"Biochemistry, Genetics and Molecular Biology
Materials Science
Engineering
Chemical Engineering
Medicine
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Chemistry
","0000-0002-8793-1099",NA
"1328","Dodge Cynthia S.",7006197606,7,"Psychology
Medicine
","",NA
"1329","Ebersole Ryan C.",55521128800,7,"Psychology
Social Sciences
Medicine
","",NA
"1330","Egelston Richard L.",6506467293,7,"Psychology
Social Sciences
Arts and Humanities
","",NA
"1331","Egid Kathleen",16439267200,7,"Neuroscience
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Medicine
Psychology
","",NA
"1332","Ellis-Robinson Tammy",56395400000,7,"Social Sciences
Medicine
Arts and Humanities
Health Professions
Psychology
","",NA
"1333","Farmer Stacey",57185096400,7,"Medicine
Psychology
","",NA
"1334","Fikiet Marisia A.",57200879408,7,"Chemistry
Physics and Astronomy
Materials Science
Social Sciences
Medicine
","",NA
"1335","Fisher Ingrid E.",21233681100,7,"Business, Management and Accounting
Computer Science
Economics, Econometrics and Finance
Decision Sciences
Social Sciences
","",NA
"1336","Fuller Lisa L.",41661221500,7,"Arts and Humanities
Social Sciences
Nursing
Agricultural and Biological Sciences
Medicine
","",NA
"1337","Gais Thomas L.",6507382734,7,"Social Sciences
Economics, Econometrics and Finance
Medicine
","",NA
"1338","Gallagher Brian K.",7103203862,7,"Immunology and Microbiology
Medicine
Nursing
Social Sciences
Health Professions
","0000-0001-9794-6721",NA
"1339","Geoffrion Leo D.",6602951139,7,"Medicine
Psychology
Social Sciences
Health Professions
Neuroscience
Engineering
","",NA
"1340","Green Cathleen M.",56797354600,7,"Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Multidisciplinary
Medicine
Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Neuroscience
","",NA
"1341","Guinn David E.",57226261284,7,"Social Sciences
Business, Management and Accounting
Environmental Science
","",NA
"1342","Guo Chen",55616079600,7,"Computer Science
Social Sciences
Engineering
Medicine
","",NA
"1343","Haight R.",7006109289,7,"Physics and Astronomy
Engineering
Materials Science
","",NA
"1344","Hanson Matthew David",57200818224,7,"Psychology
Arts and Humanities
Business, Management and Accounting
Economics, Econometrics and Finance
Social Sciences
","",NA
"1345","Harris Michelle A.",56338047000,7,"Social Sciences
Computer Science
Business, Management and Accounting
Arts and Humanities
Decision Sciences
Psychology
","",NA
"1346","Hart Thomas F.",7102730183,7,"Earth and Planetary Sciences
Computer Science
Energy
Social Sciences
Engineering
","",NA
"1347","He Tianyu",57190336973,7,"Chemistry
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Materials Science
Multidisciplinary
Neuroscience
","",NA
"1348","Hetland Gabriel",56320662300,7,"Social Sciences
Business, Management and Accounting
Arts and Humanities
Economics, Econometrics and Finance
","",NA
"1349","Irving Richard D.",7103175127,7,"Social Sciences
Business, Management and Accounting
","",NA
"1350","Juan Shaochiu",57191279622,7,"Social Sciences
Medicine
Psychology
Immunology and Microbiology
Arts and Humanities
Nursing
","",NA
"1351","Jurenka H.",6603496619,7,"Physics and Astronomy
Earth and Planetary Sciences
Environmental Science
Engineering
","",NA
"1352","Kagan Richard Mark",57224804234,7,"Social Sciences
Agricultural and Biological Sciences
","",NA
"1353","Kelly Edward F.",57189188256,7,"Social Sciences
Arts and Humanities
Medicine
","",NA
"1354","Klosko Janet S.",6507307000,7,"Psychology
Medicine
","",NA
"1355","Knapp Sara D.",7202676044,7,"Social Sciences
Engineering
Arts and Humanities
","",NA
"1356","Kumar Kaushik Arun",57214395152,7,"Engineering
Materials Science
Physics and Astronomy
Computer Science
","",NA
"1357","LaFond Deborah M.",6701715112,7,"Social Sciences
Arts and Humanities
","",NA
"1358","Lanier Charles S.",56947423000,7,"Social Sciences
Medicine
Psychology
","",NA
"1359","Lenz Jack R.",7102682758,7,"Biochemistry, Genetics and Molecular Biology
Multidisciplinary
","",NA
"1360","Leonard Paul A.",7103410899,7,"Business, Management and Accounting
Economics, Econometrics and Finance
Medicine
Decision Sciences
Psychology
","",NA
"1361","Lieberman Craig M.",55960032500,7,"Chemistry
Materials Science
Biochemistry, Genetics and Molecular Biology
","",NA
"1362","Lilley James D.",52964028300,7,"Arts and Humanities
Social Sciences
","",NA
"1363","Lin Chi Yen",56009444200,7,"Biochemistry, Genetics and Molecular Biology
Medicine
Pharmacology, Toxicology and Pharmaceutics
Multidisciplinary
Agricultural and Biological Sciences
","",NA
"1364","Lipinskas Thomas W.",6508302335,7,"Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
","",NA
"1365","Liu Gang",55808178800,7,"Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Environmental Science
Agricultural and Biological Sciences
","0000-0003-1928-2047",NA
"1366","Llaneza Danielle C.",57443323000,7,"Neuroscience
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Psychology
Pharmacology, Toxicology and Pharmaceutics
Medicine
","",NA
"1367","Londoño Johana",36656162400,7,"Social Sciences
Arts and Humanities
","0000-0003-4618-1524",NA
"1368","Magid Alvin",24317626700,7,"Social Sciences
Arts and Humanities
","",NA
"1369","Maharjan N. B.",6505926709,7,"Physics and Astronomy
Materials Science
Chemistry
","",NA
"1370","Malamood Howard S.",6508129476,7,"Psychology
Medicine
Agricultural and Biological Sciences
Immunology and Microbiology
","",NA
"1371","Marto Joseph P.",57202258793,7,"Environmental Science
Earth and Planetary Sciences
Pharmacology, Toxicology and Pharmaceutics
","",NA
"1372","Masters Nina B.",57430628700,7,"Medicine
Health Professions
Environmental Science
Social Sciences
","",NA
"1373","Mathivanan Johnsi",57201697220,7,"Chemistry
Medicine
Materials Science
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Engineering
Health Professions
Multidisciplinary
Neuroscience
Computer Science
","",NA
"1374","Mbamba Crispin Rakibu",57221819553,7,"Social Sciences
Psychology
Medicine
","",NA
"1375","McCarthy Alicia",57190608887,7,"Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Physics and Astronomy
Chemistry
Medicine
","",NA
"1376","McFadyen Melanie P.",7003294282,7,"Medicine
Biochemistry, Genetics and Molecular Biology
Psychology
Neuroscience
Pharmacology, Toxicology and Pharmaceutics
","",NA
"1377","Meyer Linda S.",7203050417,7,"Pharmacology, Toxicology and Pharmaceutics
Medicine
Neuroscience
Biochemistry, Genetics and Molecular Biology
Psychology
Social Sciences
Environmental Science
","",NA
"1378","Meyers Robert G.",16488704900,7,"Arts and Humanities
Social Sciences
","",NA
"1379","Milgramm Anna",57210980167,7,"Psychology
Social Sciences
Medicine
Health Professions
Neuroscience
","0000-0002-1256-8221",NA
"1380","Mirer Thad W.",6508261469,7,"Economics, Econometrics and Finance
","",NA
"1381","Moreta Cristina",35080953200,7,"Chemistry
Biochemistry, Genetics and Molecular Biology
Environmental Science
","",NA
"1382","Murakami Ineke",39963232700,7,"Arts and Humanities
Social Sciences
","",NA
"1383","Murty G. S.N.",24370227900,7,"Earth and Planetary Sciences
Physics and Astronomy
Environmental Science
","",NA
"1384","Muthuswami Lata",6603228796,7,"Engineering
Physics and Astronomy
Materials Science
Computer Science
","",NA
"1385","Myers Patricia E.",57213356818,7,"Psychology
Medicine
Arts and Humanities
Neuroscience
","",NA
"1386","Nirenberg Ricardo",16521254000,7,"Mathematics
","",NA
"1387","Ostrofsky Ellen B.",6507682229,7,"Environmental Science
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
","",NA
"1388","Panigrahy Surya N.",6701587987,7,"Physics and Astronomy
Materials Science
","",NA
"1389","Pate Matthew",52364501000,7,"Social Sciences
Medicine
Computer Science
","",NA
"1390","Paynter Christopher A.",56818888200,7,"Medicine
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Nursing
","",NA
"1391","Pei Weimin",7004521005,7,"Biochemistry, Genetics and Molecular Biology
Neuroscience
","",NA
"1392","Peterson Emily K.",57222003265,7,"Psychology
Social Sciences
Medicine
Arts and Humanities
","",NA
"1393","Ping Fan",26967980300,7,"Computer Science
Mathematics
","",NA
"1394","Powers Nathan M.",55636160200,7,"Arts and Humanities
","",NA
"1395","Puccioni Jaime",56320890200,7,"Social Sciences
Psychology
Arts and Humanities
Pharmacology, Toxicology and Pharmaceutics
Medicine
","",NA
"1396","Quiñones-Ruíz Tatiana",56497932400,7,"Chemical Engineering
Chemistry
Biochemistry, Genetics and Molecular Biology
Materials Science
Environmental Science
Engineering
","",NA
"1397","Qureshi Sumizah",7203068197,7,"Environmental Science
Earth and Planetary Sciences
Chemistry
","",NA
"1398","Rahman Khandker Sadia",57204418760,7,"Computer Science
Energy
Social Sciences
Engineering
Medicine
","",NA
"1399","Reeb Donald J.",6701546157,7,"Social Sciences
Economics, Econometrics and Finance
Business, Management and Accounting
Earth and Planetary Sciences
Environmental Science
Medicine
Psychology
","",NA
"1400","Reese William L.",57190365222,7,"Arts and Humanities
Social Sciences
","",NA
"1401","Reimann Werner",24406293600,7,"Chemistry
Materials Science
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
","",NA
"1402","Rinaldi Melissa L.",56647010800,7,"Psychology
Medicine
Neuroscience
","",NA
"1403","Rodríguez Carlos C.",7401788285,7,"Physics and Astronomy
Mathematics
Computer Science
Social Sciences
Decision Sciences
","",NA
"1404","Ryan Ian",57221770139,7,"Environmental Science
Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
","",NA
"1405","Sands Peter",56445061600,7,"Social Sciences
Arts and Humanities
","",NA
"1406","Sellen Mary K.",56976786200,7,"Social Sciences
Business, Management and Accounting
","",NA
"1407","Sereda Valentin",55215311700,7,"Biochemistry, Genetics and Molecular Biology
Chemistry
Materials Science
Chemical Engineering
Physics and Astronomy
","",NA
"1408","Sharma Prinkle",57207283833,7,"Computer Science
Engineering
Social Sciences
Mathematics
Materials Science
Decision Sciences
","",NA
"1409","Shrestha Bhupal",57213727582,7,"Earth and Planetary Sciences
Environmental Science
Chemistry
Physics and Astronomy
Materials Science
Engineering
","",NA
"1410","Smith R. Bob",57121587600,7,"Chemical Engineering
Chemistry
Psychology
Arts and Humanities
Business, Management and Accounting
Social Sciences
","",NA
"1411","Smith Tamara L.",7405497809,7,"Social Sciences
Medicine
Psychology
Nursing
Health Professions
Biochemistry, Genetics and Molecular Biology
","",NA
"1412","Sodano Ruthlyn",26632465200,7,"Psychology
Medicine
Neuroscience
Social Sciences
Biochemistry, Genetics and Molecular Biology
","",NA
"1413","Songster Herbert J.",6506539110,7,"Engineering
Energy
","",NA
"1414","Stratton Howard H.",57225422385,7,"Mathematics
","",NA
"1415","Strzalkowski Tomek",14831835600,7,"Mathematics
Computer Science
Engineering
","",NA
"1416","Tahir Sajjad",56517786400,7,"Materials Science
Physics and Astronomy
Engineering
Mathematics
Computer Science
Chemistry
Medicine
","",NA
"1417","Timmons Beverly H.",6701409447,7,"Agricultural and Biological Sciences
Medicine
Biochemistry, Genetics and Molecular Biology
Engineering
Neuroscience
","",NA
"1418","Tyle Kevin R.",6507418455,7,"Earth and Planetary Sciences
Biochemistry, Genetics and Molecular Biology
Environmental Science
Mathematics
Agricultural and Biological Sciences
Computer Science
Neuroscience
","",NA
"1419","Uppal Jogindar S.",6701508908,7,"Social Sciences
Economics, Econometrics and Finance
Environmental Science
Pharmacology, Toxicology and Pharmaceutics
Mathematics
Medicine
Decision Sciences
","",NA
"1420","Urbaeva Jildyz",55313666800,7,"Social Sciences
Health Professions
Medicine
Psychology
","",NA
"1421","van Minh Hoang",12803908200,7,"Medicine
Earth and Planetary Sciences
Psychology
","",NA
"1422","Vermilyea James A.",6506455470,7,"Psychology
Medicine
","",NA
"1423","Vickers Jason",35621135200,7,"Social Sciences
Computer Science
","",NA
"1424","Waryold Justin M.",57192176710,7,"Nursing
Medicine
Psychology
","",NA
"1425","Waterhouse Janetta",55386893400,7,"Social Sciences
Computer Science
","",NA
"1426","Watson Jessica E.",57188986319,7,"Social Sciences
Arts and Humanities
Earth and Planetary Sciences
Environmental Science
","",NA
"1427","Weber Rose Marie",14040843700,7,"Social Sciences
Psychology
Arts and Humanities
Pharmacology, Toxicology and Pharmaceutics
Medicine
","",NA
"1428","Wells Christopher C.",57196569442,7,"Chemistry
Physics and Astronomy
Materials Science
Biochemistry, Genetics and Molecular Biology
Engineering
","",NA
"1429","White Daniel D.",56892499400,7,"Agricultural and Biological Sciences
Medicine
Psychology
Social Sciences
Neuroscience
","",NA
"1430","Wilder Laura",8619635800,7,"Social Sciences
Arts and Humanities
","",NA
"1431","Wilkinson Richard G.",55518929900,7,"Social Sciences
Arts and Humanities
Medicine
Environmental Science
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
","",NA
